0 0 1 0 1;3,5;0 0 1 0 1
0 0 1 0 0;8;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
1 0 1 0 0;16,18;1 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 1 0;28,29;0 0 1 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;39;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;48;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 1;62,65;0 1 0 0 1
0 0 0 0 1;70;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
1 0 0 0 0;81;1 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
1 0 0 0 0;116;1 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;160;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;184;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;203;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
1 0 0 0 0;206;1 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;220;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;249;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;262;0 1 0 0 0
1 0 1 0 0;266, 268;1 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 1 0 0;;0 1 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
1 0 0 0 0;;1 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 1 0 0 1;;0 1 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 1;;0 0 0 0 1
1 0 0 0 0;;1 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 1 0;;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 1;;0 1 0 0 1
1 0 0 0 0;;1 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 1 1;;0 0 0 1 1
0 1 0 0 1;;0 1 0 0 1
0 1 1 0 0;;0 1 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 1;;0 0 1 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 1 0;;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 1 0 0;;0 1 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
1 0 0 0 0;;1 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
1 0 0 0 0;;1 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;;0 0 0 1 0
0 0 1 0 1;;0 0 1 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
1 0 0 0 0;;1 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
1 1 0 0 0;;1 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;;0 0 0 1 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 1 0 0 0;;0 1 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 1;;0 0 0 0 1
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;;0 0 0 1 0
0 0 0 1 0;;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 1 0 0;;0 0 1 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 1 0;;0 0 0 1 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 0 0 0 0;;0 0 0 0 0
0 1 0 0 0;;0 1 0 0 0
1;;1
